bullfrog_excavator v2 129 games, 95650 moves, e=0.905, loss: nan, -, 46.1% elo% vs. v0, avg. reward: -9.423, 0.396 sec/game, 0.7 min. total, 656.5 MB
bullfrog_excavator v2 130 games, 96527 moves, e=0.904, loss: nan, +, 48.6% elo% vs. v0, avg. reward: -9.407, 0.399 sec/game, 0.7 min. total, 660.6 MB
bullfrog_excavator v2 131 games, 97267 moves, e=0.904, loss: nan, +, 50.9% elo% vs. v0, avg. reward: -9.412, 0.399 sec/game, 0.7 min. total, 661.8 MB
bullfrog_excavator v2 132 games, 98041 moves, e=0.903, loss: nan, -, 48.6% elo% vs. v0, avg. reward: -9.400, 0.401 sec/game, 0.7 min. total, 663.3 MB
bullfrog_excavator v2 133 games, 98873 moves, e=0.902, loss: nan, -, 46.3% elo% vs. v0, avg. reward: -9.381, 0.406 sec/game, 0.7 min. total, 665.6 MB
bullfrog_excavator v2 134 games, 99722 moves, e=0.901, loss: nan, ., 46.5% elo% vs. v0, avg. reward: -9.347, 0.409 sec/game, 0.7 min. total, 668.1 MB
bullfrog_excavator v2 135 games, 100496 moves, e=0.901, loss: 60.3, -, 44.4% elo% vs. v0, avg. reward: -9.341, 0.602 sec/game, 0.8 min. total, 720.1 MB
bullfrog_excavator v2 136 games, 101229 moves, e=0.900, loss: 46.5, +, 46.9% elo% vs. v0, avg. reward: -9.348, 0.819 sec/game, 0.8 min. total, 721.6 MB
bullfrog_excavator v2 137 games, 101968 moves, e=0.899, loss: 30.9, -, 44.8% elo% vs. v0, avg. reward: -9.332, 1.077 sec/game, 0.9 min. total, 722.2 MB
bullfrog_excavator v2 138 games, 102760 moves, e=0.898, loss: 21.0, -, 42.8% elo% vs. v0, avg. reward: -9.316, 1.337 sec/game, 1.0 min. total, 722.7 MB
bullfrog_excavator v2 139 games, 103431 moves, e=0.898, loss: 15.3, -, 40.8% elo% vs. v0, avg. reward: -9.311, 1.592 sec/game, 1.1 min. total, 723.2 MB
bullfrog_excavator v2 140 games, 104173 moves, e=0.897, loss: 12.4, -, 39.0% elo% vs. v0, avg. reward: -9.304, 1.813 sec/game, 1.2 min. total, 723.9 MB
bullfrog_excavator v2 141 games, 104855 moves, e=0.896, loss: 10.5, -, 37.3% elo% vs. v0, avg. reward: -9.312, 2.078 sec/game, 1.3 min. total, 723.0 MB
bullfrog_excavator v2 142 games, 105515 moves, e=0.896, loss: 9.6, -, 35.7% elo% vs. v0, avg. reward: -9.317, 2.293 sec/game, 1.4 min. total, 723.4 MB
bullfrog_excavator v2 143 games, 106454 moves, e=0.895, loss: 8.7, -, 34.2% elo% vs. v0, avg. reward: -9.304, 2.602 sec/game, 1.5 min. total, 723.5 MB
bullfrog_excavator v2 144 games, 107152 moves, e=0.894, loss: 8.6, -, 32.8% elo% vs. v0, avg. reward: -9.302, 2.864 sec/game, 1.6 min. total, 724.6 MB
bullfrog_excavator v2 145 games, 107874 moves, e=0.893, loss: 8.8, -, 31.5% elo% vs. v0, avg. reward: -9.311, 3.089 sec/game, 1.7 min. total, 724.1 MB
bullfrog_excavator v2 146 games, 108664 moves, e=0.892, loss: 8.3, -, 30.3% elo% vs. v0, avg. reward: -9.311, 3.356 sec/game, 1.8 min. total, 724.4 MB
