preseason_shawl v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.3 MB
preseason_shawl v4 119 games, 86021 moves, e=0.915, loss: 6.9, -, 22.9% elo% vs. random_no_suicide, avg. reward: -9.724, 1.402 sec/game, 2.4 min. total, 457.4 MB
preseason_shawl v4 120 games, 86761 moves, e=0.914, loss: 6.6, -, 22.2% elo% vs. random_no_suicide, avg. reward: -9.709, 1.397 sec/game, 2.4 min. total, 457.7 MB
preseason_shawl v4 121 games, 87537 moves, e=0.913, loss: 6.7, -, 21.5% elo% vs. random_no_suicide, avg. reward: -9.697, 1.409 sec/game, 2.4 min. total, 457.7 MB
preseason_shawl v4 122 games, 88420 moves, e=0.912, loss: 6.9, -, 20.8% elo% vs. random_no_suicide, avg. reward: -9.665, 1.425 sec/game, 2.5 min. total, 457.9 MB
preseason_shawl v4 123 games, 89073 moves, e=0.912, loss: 6.8, -, 20.2% elo% vs. random_no_suicide, avg. reward: -9.655, 1.408 sec/game, 2.5 min. total, 457.8 MB
preseason_shawl v4 124 games, 89884 moves, e=0.911, loss: 7.0, -, 19.6% elo% vs. random_no_suicide, avg. reward: -9.643, 1.420 sec/game, 2.5 min. total, 458.1 MB
preseason_shawl v4 125 games, 90669 moves, e=0.910, loss: 7.1, -, 19.1% elo% vs. random_no_suicide, avg. reward: -9.645, 1.432 sec/game, 2.5 min. total, 458.8 MB
preseason_shawl v4 126 games, 91316 moves, e=0.910, loss: 6.4, -, 18.5% elo% vs. random_no_suicide, avg. reward: -9.645, 1.431 sec/game, 2.6 min. total, 458.8 MB
preseason_shawl v4 127 games, 92037 moves, e=0.909, loss: 6.2, -, 18.0% elo% vs. random_no_suicide, avg. reward: -9.634, 1.435 sec/game, 2.6 min. total, 460.2 MB
preseason_shawl v4 128 games, 92753 moves, e=0.908, loss: 6.6, -, 17.5% elo% vs. random_no_suicide, avg. reward: -9.630, 1.423 sec/game, 2.6 min. total, 459.5 MB
preseason_shawl v4 129 games, 93467 moves, e=0.907, loss: 6.2, -, 17.1% elo% vs. random_no_suicide, avg. reward: -9.619, 1.425 sec/game, 2.6 min. total, 459.8 MB
preseason_shawl v4 130 games, 94232 moves, e=0.907, loss: 6.1, -, 16.6% elo% vs. random_no_suicide, avg. reward: -9.629, 1.423 sec/game, 2.7 min. total, 459.8 MB
preseason_shawl v4 131 games, 95022 moves, e=0.906, loss: 5.9, -, 16.2% elo% vs. random_no_suicide, avg. reward: -9.618, 1.427 sec/game, 2.7 min. total, 459.6 MB
preseason_shawl v4 132 games, 95755 moves, e=0.905, loss: 5.7, -, 15.8% elo% vs. random_no_suicide, avg. reward: -9.630, 1.437 sec/game, 2.7 min. total, 459.6 MB
preseason_shawl v4 133 games, 96595 moves, e=0.904, loss: 5.6, -, 15.4% elo% vs. random_no_suicide, avg. reward: -9.623, 1.439 sec/game, 2.7 min. total, 459.7 MB
preseason_shawl v4 134 games, 97413 moves, e=0.904, loss: 5.1, -, 15.1% elo% vs. random_no_suicide, avg. reward: -9.619, 1.450 sec/game, 2.8 min. total, 460.0 MB
preseason_shawl v4 135 games, 98290 moves, e=0.903, loss: 5.0, -, 14.7% elo% vs. random_no_suicide, avg. reward: -9.601, 1.443 sec/game, 2.8 min. total, 459.8 MB
preseason_shawl v4 136 games, 99074 moves, e=0.902, loss: 5.0, -, 14.4% elo% vs. random_no_suicide, avg. reward: -9.583, 1.440 sec/game, 2.8 min. total, 461.1 MB
preseason_shawl v4 137 games, 99719 moves, e=0.901, loss: 5.3, -, 14.0% elo% vs. random_no_suicide, avg. reward: -9.607, 1.431 sec/game, 2.8 min. total, 461.9 MB
