shelter_stage v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 303.0 MB
shelter_stage v4 150 games, 107242 moves, e=0.894, loss: 2.1, -, 16.1% elo% vs. random_no_suicide, avg. reward: -8.557, 1.529 sec/game, 3.3 min. total, 492.5 MB
shelter_stage v4 151 games, 107944 moves, e=0.893, loss: 2.0, -, 15.7% elo% vs. random_no_suicide, avg. reward: -8.554, 1.525 sec/game, 3.3 min. total, 493.4 MB
shelter_stage v4 152 games, 108649 moves, e=0.892, loss: 2.2, -, 15.3% elo% vs. random_no_suicide, avg. reward: -8.561, 1.499 sec/game, 3.3 min. total, 493.6 MB
shelter_stage v4 153 games, 109439 moves, e=0.892, loss: 2.0, -, 14.9% elo% vs. random_no_suicide, avg. reward: -8.544, 1.498 sec/game, 3.3 min. total, 493.6 MB
shelter_stage v4 154 games, 110183 moves, e=0.891, loss: 1.8, +, 17.0% elo% vs. random_no_suicide, avg. reward: -8.533, 1.498 sec/game, 3.4 min. total, 493.8 MB
shelter_stage v4 155 games, 110823 moves, e=0.890, loss: 1.7, -, 16.6% elo% vs. random_no_suicide, avg. reward: -8.548, 1.486 sec/game, 3.4 min. total, 493.7 MB
shelter_stage v4 156 games, 111595 moves, e=0.890, loss: 1.8, ., 17.5% elo% vs. random_no_suicide, avg. reward: -8.528, 1.497 sec/game, 3.4 min. total, 493.9 MB
shelter_stage v4 157 games, 112391 moves, e=0.889, loss: 1.9, -, 17.0% elo% vs. random_no_suicide, avg. reward: -8.535, 1.523 sec/game, 3.4 min. total, 495.4 MB
shelter_stage v4 158 games, 113241 moves, e=0.888, loss: 1.6, -, 16.6% elo% vs. random_no_suicide, avg. reward: -8.523, 1.544 sec/game, 3.5 min. total, 495.3 MB
shelter_stage v4 159 games, 113971 moves, e=0.887, loss: 1.5, -, 16.2% elo% vs. random_no_suicide, avg. reward: -8.517, 1.545 sec/game, 3.5 min. total, 495.9 MB
shelter_stage v4 160 games, 114737 moves, e=0.886, loss: 1.4, -, 15.8% elo% vs. random_no_suicide, avg. reward: -8.513, 1.546 sec/game, 3.5 min. total, 495.6 MB
shelter_stage v4 161 games, 115513 moves, e=0.886, loss: 1.4, -, 15.4% elo% vs. random_no_suicide, avg. reward: -8.505, 1.559 sec/game, 3.5 min. total, 496.1 MB
shelter_stage v4 162 games, 116368 moves, e=0.885, loss: 1.5, +, 17.5% elo% vs. random_no_suicide, avg. reward: -8.468, 1.584 sec/game, 3.6 min. total, 495.7 MB
shelter_stage v4 163 games, 117155 moves, e=0.884, loss: 1.5, +, 19.8% elo% vs. random_no_suicide, avg. reward: -8.451, 1.583 sec/game, 3.6 min. total, 495.7 MB
shelter_stage v4 164 games, 117832 moves, e=0.883, loss: 1.8, +, 22.3% elo% vs. random_no_suicide, avg. reward: -8.468, 1.576 sec/game, 3.6 min. total, 497.0 MB
shelter_stage v4 165 games, 118638 moves, e=0.883, loss: 1.8, -, 21.6% elo% vs. random_no_suicide, avg. reward: -8.438, 1.575 sec/game, 3.7 min. total, 496.2 MB
shelter_stage v4 166 games, 119315 moves, e=0.882, loss: 1.6, +, 24.1% elo% vs. random_no_suicide, avg. reward: -8.449, 1.575 sec/game, 3.7 min. total, 493.8 MB
shelter_stage v4 167 games, 120108 moves, e=0.881, loss: 1.8, -, 23.3% elo% vs. random_no_suicide, avg. reward: -8.427, 1.575 sec/game, 3.7 min. total, 496.8 MB
shelter_stage v4 168 games, 120730 moves, e=0.880, loss: 2.0, -, 22.6% elo% vs. random_no_suicide, avg. reward: -8.442, 1.562 sec/game, 3.7 min. total, 496.8 MB
shelter_stage v4 169 games, 121504 moves, e=0.880, loss: 1.7, -, 21.8% elo% vs. random_no_suicide, avg. reward: -8.444, 1.562 sec/game, 3.8 min. total, 496.7 MB
shelter_stage v4 170 games, 122273 moves, e=0.879, loss: 1.8, -, 21.2% elo% vs. random_no_suicide, avg. reward: -8.441, 1.565 sec/game, 3.8 min. total, 496.7 MB
shelter_stage v4 171 games, 123180 moves, e=0.878, loss: 2.3, -, 20.5% elo% vs. random_no_suicide, avg. reward: -8.417, 1.583 sec/game, 3.8 min. total, 496.9 MB
shelter_stage v4 172 games, 123977 moves, e=0.877, loss: 2.3, -, 19.9% elo% vs. random_no_suicide, avg. reward: -8.417, 1.596 sec/game, 3.8 min. total, 495.2 MB
shelter_stage v4 173 games, 124785 moves, e=0.876, loss: 2.5, -, 19.3% elo% vs. random_no_suicide, avg. reward: -8.408, 1.604 sec/game, 3.9 min. total, 498.4 MB
shelter_stage v4 174 games, 125642 moves, e=0.876, loss: 2.4, -, 18.8% elo% vs. random_no_suicide, avg. reward: -8.395, 1.617 sec/game, 3.9 min. total, 498.3 MB
shelter_stage v4 175 games, 126425 moves, e=0.875, loss: 2.5, -, 18.3% elo% vs. random_no_suicide, avg. reward: -8.380, 1.630 sec/game, 3.9 min. total, 497.8 MB
shelter_stage v4 176 games, 127123 moves, e=0.874, loss: 2.3, -, 17.8% elo% vs. random_no_suicide, avg. reward: -8.377, 1.628 sec/game, 3.9 min. total, 498.5 MB
shelter_stage v4 177 games, 127947 moves, e=0.873, loss: 2.0, -, 17.3% elo% vs. random_no_suicide, avg. reward: -8.369, 1.607 sec/game, 4.0 min. total, 498.7 MB
shelter_stage v4 178 games, 128701 moves, e=0.873, loss: 2.2, -, 16.8% elo% vs. random_no_suicide, avg. reward: -8.359, 1.600 sec/game, 4.0 min. total, 498.6 MB
shelter_stage v4 179 games, 129380 moves, e=0.872, loss: 2.1, -, 16.4% elo% vs. random_no_suicide, avg. reward: -8.373, 1.589 sec/game, 4.0 min. total, 498.5 MB
shelter_stage v4 180 games, 130021 moves, e=0.871, loss: 2.3, -, 16.0% elo% vs. random_no_suicide, avg. reward: -8.373, 1.576 sec/game, 4.0 min. total, 500.1 MB
shelter_stage v4 181 games, 131002 moves, e=0.870, loss: 2.5, -, 15.6% elo% vs. random_no_suicide, avg. reward: -8.346, 1.606 sec/game, 4.1 min. total, 500.6 MB
shelter_stage v4 182 games, 131737 moves, e=0.870, loss: 2.4, -, 15.2% elo% vs. random_no_suicide, avg. reward: -8.349, 1.593 sec/game, 4.1 min. total, 500.7 MB
shelter_stage v4 183 games, 132470 moves, e=0.869, loss: 2.4, -, 14.9% elo% vs. random_no_suicide, avg. reward: -8.341, 1.583 sec/game, 4.1 min. total, 500.4 MB
shelter_stage v4 184 games, 133304 moves, e=0.868, loss: 2.1, -, 14.5% elo% vs. random_no_suicide, avg. reward: -8.311, 1.608 sec/game, 4.2 min. total, 500.7 MB
shelter_stage v4 185 games, 134057 moves, e=0.867, loss: 1.9, -, 14.2% elo% vs. random_no_suicide, avg. reward: -8.314, 1.607 sec/game, 4.2 min. total, 500.7 MB
shelter_stage v4 186 games, 134801 moves, e=0.867, loss: 1.8, -, 13.9% elo% vs. random_no_suicide, avg. reward: -8.304, 1.608 sec/game, 4.2 min. total, 500.6 MB
shelter_stage v4 187 games, 135559 moves, e=0.866, loss: 1.9, -, 13.6% elo% vs. random_no_suicide, avg. reward: -8.309, 1.609 sec/game, 4.2 min. total, 500.7 MB
shelter_stage v4 188 games, 136312 moves, e=0.865, loss: 2.0, -, 13.3% elo% vs. random_no_suicide, avg. reward: -8.301, 1.613 sec/game, 4.3 min. total, 501.4 MB
shelter_stage v4 189 games, 137275 moves, e=0.864, loss: 1.7, -, 13.0% elo% vs. random_no_suicide, avg. reward: -8.282, 1.638 sec/game, 4.3 min. total, 499.7 MB
shelter_stage v4 190 games, 137992 moves, e=0.863, loss: 1.9, +, 14.9% elo% vs. random_no_suicide, avg. reward: -8.286, 1.637 sec/game, 4.3 min. total, 502.9 MB
shelter_stage v4 191 games, 138795 moves, e=0.863, loss: 1.8, ., 15.8% elo% vs. random_no_suicide, avg. reward: -8.290, 1.622 sec/game, 4.4 min. total, 502.8 MB
shelter_stage v4 192 games, 139628 moves, e=0.862, loss: 2.1, -, 15.4% elo% vs. random_no_suicide, avg. reward: -8.271, 1.624 sec/game, 4.4 min. total, 503.2 MB
shelter_stage v4 193 games, 140482 moves, e=0.861, loss: 2.1, -, 15.0% elo% vs. random_no_suicide, avg. reward: -8.244, 1.630 sec/game, 4.4 min. total, 503.1 MB
shelter_stage v4 194 games, 141248 moves, e=0.860, loss: 2.1, -, 14.7% elo% vs. random_no_suicide, avg. reward: -8.246, 1.618 sec/game, 4.4 min. total, 503.4 MB
shelter_stage v4 195 games, 142046 moves, e=0.859, loss: 2.2, -, 14.3% elo% vs. random_no_suicide, avg. reward: -8.237, 1.620 sec/game, 4.5 min. total, 504.8 MB
shelter_stage v4 196 games, 142844 moves, e=0.859, loss: 2.4, -, 14.0% elo% vs. random_no_suicide, avg. reward: -8.218, 1.625 sec/game, 4.5 min. total, 502.3 MB
shelter_stage v4 197 games, 143699 moves, e=0.858, loss: 2.8, -, 13.7% elo% vs. random_no_suicide, avg. reward: -8.196, 1.640 sec/game, 4.5 min. total, 505.3 MB
shelter_stage v4 198 games, 144627 moves, e=0.857, loss: 2.7, -, 13.4% elo% vs. random_no_suicide, avg. reward: -8.183, 1.652 sec/game, 4.6 min. total, 505.2 MB
shelter_stage v4 199 games, 145384 moves, e=0.856, loss: 2.5, -, 13.1% elo% vs. random_no_suicide, avg. reward: -8.173, 1.665 sec/game, 4.6 min. total, 505.4 MB
shelter_stage v4 200 games, 146089 moves, e=0.855, loss: 2.5, -, 12.9% elo% vs. random_no_suicide, avg. reward: -8.173, 1.679 sec/game, 4.6 min. total, 505.3 MB
shelter_stage v5 201 games, 146835 moves, e=0.855, loss: 2.4, -, 47.7% elo% vs. random_no_suicide, avg. reward: -8.181, 1.651 sec/game, 4.6 min. total, 505.6 MB
shelter_stage v5 202 games, 147705 moves, e=0.854, loss: 2.1, -, 45.5% elo% vs. random_no_suicide, avg. reward: -8.166, 1.656 sec/game, 4.7 min. total, 505.9 MB
shelter_stage v5 203 games, 148555 moves, e=0.853, loss: 2.4, ., 45.7% elo% vs. random_no_suicide, avg. reward: -8.156, 1.689 sec/game, 4.7 min. total, 505.5 MB
shelter_stage v5 204 games, 149296 moves, e=0.852, loss: 2.6, -, 43.6% elo% vs. random_no_suicide, avg. reward: -8.163, 1.676 sec/game, 4.7 min. total, 506.2 MB
shelter_stage v5 205 games, 149993 moves, e=0.852, loss: 2.4, -, 41.7% elo% vs. random_no_suicide, avg. reward: -8.177, 1.665 sec/game, 4.7 min. total, 506.2 MB
shelter_stage v5 206 games, 150858 moves, e=0.851, loss: 2.6, -, 39.8% elo% vs. random_no_suicide, avg. reward: -8.144, 1.679 sec/game, 4.8 min. total, 505.6 MB
shelter_stage v5 207 games, 151627 moves, e=0.850, loss: 2.4, -, 38.1% elo% vs. random_no_suicide, avg. reward: -8.159, 1.679 sec/game, 4.8 min. total, 506.2 MB
shelter_stage v5 208 games, 152312 moves, e=0.849, loss: 2.4, +, 40.8% elo% vs. random_no_suicide, avg. reward: -8.158, 1.678 sec/game, 4.8 min. total, 506.2 MB
shelter_stage v5 209 games, 153068 moves, e=0.848, loss: 2.0, +, 43.5% elo% vs. random_no_suicide, avg. reward: -8.150, 1.657 sec/game, 4.9 min. total, 506.5 MB
shelter_stage v5 210 games, 153886 moves, e=0.848, loss: 2.0, +, 46.0% elo% vs. random_no_suicide, avg. reward: -8.131, 1.668 sec/game, 4.9 min. total, 504.5 MB
shelter_stage v5 211 games, 154751 moves, e=0.847, loss: 1.9, -, 43.9% elo% vs. random_no_suicide, avg. reward: -8.119, 1.672 sec/game, 4.9 min. total, 507.6 MB
shelter_stage v5 212 games, 155472 moves, e=0.846, loss: 1.9, -, 41.9% elo% vs. random_no_suicide, avg. reward: -8.111, 1.670 sec/game, 4.9 min. total, 507.5 MB
shelter_stage v5 213 games, 156450 moves, e=0.845, loss: 2.2, -, 40.1% elo% vs. random_no_suicide, avg. reward: -8.082, 1.681 sec/game, 5.0 min. total, 507.6 MB
shelter_stage v5 214 games, 157224 moves, e=0.844, loss: 2.1, +, 42.8% elo% vs. random_no_suicide, avg. reward: -8.074, 1.682 sec/game, 5.0 min. total, 507.8 MB
shelter_stage v5 215 games, 158062 moves, e=0.844, loss: 2.1, -, 40.8% elo% vs. random_no_suicide, avg. reward: -8.073, 1.685 sec/game, 5.0 min. total, 508.0 MB
shelter_stage v5 216 games, 158815 moves, e=0.843, loss: 1.8, -, 39.0% elo% vs. random_no_suicide, avg. reward: -8.065, 1.683 sec/game, 5.1 min. total, 508.3 MB
shelter_stage v5 217 games, 159752 moves, e=0.842, loss: 1.8, -, 37.3% elo% vs. random_no_suicide, avg. reward: -8.027, 1.692 sec/game, 5.1 min. total, 507.6 MB
shelter_stage v5 218 games, 160588 moves, e=0.841, loss: 2.1, -, 35.7% elo% vs. random_no_suicide, avg. reward: -8.022, 1.684 sec/game, 5.1 min. total, 509.8 MB
shelter_stage v5 219 games, 161305 moves, e=0.840, loss: 2.0, -, 34.2% elo% vs. random_no_suicide, avg. reward: -8.026, 1.684 sec/game, 5.1 min. total, 510.4 MB
shelter_stage v5 220 games, 162140 moves, e=0.839, loss: 2.3, -, 32.8% elo% vs. random_no_suicide, avg. reward: -8.009, 1.685 sec/game, 5.2 min. total, 510.5 MB
shelter_stage v5 221 games, 162922 moves, e=0.839, loss: 2.4, -, 31.5% elo% vs. random_no_suicide, avg. reward: -8.002, 1.685 sec/game, 5.2 min. total, 510.6 MB
shelter_stage v5 222 games, 163864 moves, e=0.838, loss: 2.1, ., 32.3% elo% vs. random_no_suicide, avg. reward: -7.996, 1.709 sec/game, 5.2 min. total, 510.0 MB
shelter_stage v5 223 games, 164657 moves, e=0.837, loss: 1.8, -, 31.0% elo% vs. random_no_suicide, avg. reward: -7.995, 1.690 sec/game, 5.3 min. total, 510.0 MB
shelter_stage v5 224 games, 165458 moves, e=0.836, loss: 2.1, -, 29.8% elo% vs. random_no_suicide, avg. reward: -7.977, 1.696 sec/game, 5.3 min. total, 510.7 MB
shelter_stage v5 225 games, 166240 moves, e=0.835, loss: 2.0, -, 28.6% elo% vs. random_no_suicide, avg. reward: -7.970, 1.710 sec/game, 5.3 min. total, 509.6 MB
shelter_stage v5 226 games, 167045 moves, e=0.835, loss: 1.9, -, 27.6% elo% vs. random_no_suicide, avg. reward: -7.945, 1.712 sec/game, 5.3 min. total, 512.0 MB
shelter_stage v5 227 games, 167841 moves, e=0.834, loss: 1.9, -, 26.6% elo% vs. random_no_suicide, avg. reward: -7.949, 1.715 sec/game, 5.4 min. total, 512.0 MB
shelter_stage v5 228 games, 168674 moves, e=0.833, loss: 2.1, +, 29.3% elo% vs. random_no_suicide, avg. reward: -7.950, 1.727 sec/game, 5.4 min. total, 512.6 MB
shelter_stage v5 229 games, 169431 moves, e=0.832, loss: 2.0, -, 28.2% elo% vs. random_no_suicide, avg. reward: -7.936, 1.726 sec/game, 5.4 min. total, 512.3 MB
shelter_stage v5 230 games, 170364 moves, e=0.831, loss: 2.0, -, 27.1% elo% vs. random_no_suicide, avg. reward: -7.927, 1.727 sec/game, 5.5 min. total, 512.8 MB
shelter_stage v5 231 games, 171176 moves, e=0.831, loss: 2.0, -, 26.2% elo% vs. random_no_suicide, avg. reward: -7.928, 1.736 sec/game, 5.5 min. total, 512.2 MB
shelter_stage v5 232 games, 171908 moves, e=0.830, loss: 2.2, -, 25.2% elo% vs. random_no_suicide, avg. reward: -7.942, 1.735 sec/game, 5.5 min. total, 513.7 MB
shelter_stage v5 233 games, 172792 moves, e=0.829, loss: 2.0, -, 24.4% elo% vs. random_no_suicide, avg. reward: -7.935, 1.714 sec/game, 5.5 min. total, 511.9 MB
shelter_stage v5 234 games, 173604 moves, e=0.828, loss: 2.1, -, 23.6% elo% vs. random_no_suicide, avg. reward: -7.927, 1.729 sec/game, 5.6 min. total, 514.5 MB
shelter_stage v5 235 games, 174378 moves, e=0.827, loss: 2.0, +, 26.2% elo% vs. random_no_suicide, avg. reward: -7.925, 1.731 sec/game, 5.6 min. total, 514.3 MB
shelter_stage v5 236 games, 175185 moves, e=0.827, loss: 2.0, -, 25.3% elo% vs. random_no_suicide, avg. reward: -7.906, 1.731 sec/game, 5.6 min. total, 515.0 MB
shelter_stage v5 237 games, 176149 moves, e=0.826, loss: 2.4, +, 28.0% elo% vs. random_no_suicide, avg. reward: -7.883, 1.733 sec/game, 5.7 min. total, 515.2 MB
shelter_stage v5 238 games, 176926 moves, e=0.825, loss: 2.3, -, 26.9% elo% vs. random_no_suicide, avg. reward: -7.866, 1.729 sec/game, 5.7 min. total, 514.4 MB
shelter_stage v5 239 games, 177709 moves, e=0.824, loss: 2.7, -, 26.0% elo% vs. random_no_suicide, avg. reward: -7.861, 1.731 sec/game, 5.7 min. total, 515.2 MB
shelter_stage v5 240 games, 178485 moves, e=0.823, loss: 2.3, -, 25.1% elo% vs. random_no_suicide, avg. reward: -7.856, 1.733 sec/game, 5.7 min. total, 515.4 MB
shelter_stage v5 241 games, 179226 moves, e=0.823, loss: 2.5, -, 24.2% elo% vs. random_no_suicide, avg. reward: -7.847, 1.732 sec/game, 5.8 min. total, 513.5 MB
shelter_stage v5 242 games, 180128 moves, e=0.822, loss: 2.4, -, 23.4% elo% vs. random_no_suicide, avg. reward: -7.823, 1.720 sec/game, 5.8 min. total, 516.0 MB
shelter_stage v5 243 games, 180953 moves, e=0.821, loss: 2.4, -, 22.6% elo% vs. random_no_suicide, avg. reward: -7.813, 1.721 sec/game, 5.8 min. total, 516.2 MB
shelter_stage v5 244 games, 181875 moves, e=0.820, loss: 2.6, -, 21.9% elo% vs. random_no_suicide, avg. reward: -7.796, 1.732 sec/game, 5.9 min. total, 516.4 MB
shelter_stage v5 245 games, 182820 moves, e=0.819, loss: 2.7, -, 21.2% elo% vs. random_no_suicide, avg. reward: -7.787, 1.754 sec/game, 5.9 min. total, 516.4 MB
shelter_stage v5 246 games, 183677 moves, e=0.818, loss: 2.6, -, 20.6% elo% vs. random_no_suicide, avg. reward: -7.780, 1.743 sec/game, 5.9 min. total, 516.5 MB
shelter_stage v5 247 games, 184483 moves, e=0.817, loss: 2.7, -, 20.0% elo% vs. random_no_suicide, avg. reward: -7.769, 1.751 sec/game, 6.0 min. total, 516.5 MB
shelter_stage v5 248 games, 185183 moves, e=0.817, loss: 2.6, -, 19.4% elo% vs. random_no_suicide, avg. reward: -7.776, 1.740 sec/game, 6.0 min. total, 517.4 MB
shelter_stage v5 249 games, 186033 moves, e=0.816, loss: 2.6, -, 18.8% elo% vs. random_no_suicide, avg. reward: -7.763, 1.755 sec/game, 6.0 min. total, 515.6 MB
shelter_stage v5 250 games, 186771 moves, e=0.815, loss: 2.3, -, 18.3% elo% vs. random_no_suicide, avg. reward: -7.776, 1.742 sec/game, 6.0 min. total, 518.4 MB
shelter_stage v5 251 games, 187610 moves, e=0.814, loss: 2.7, -, 17.8% elo% vs. random_no_suicide, avg. reward: -7.757, 1.733 sec/game, 6.1 min. total, 518.5 MB
shelter_stage v5 252 games, 188312 moves, e=0.814, loss: 2.6, -, 17.3% elo% vs. random_no_suicide, avg. reward: -7.759, 1.736 sec/game, 6.1 min. total, 518.6 MB
shelter_stage v5 253 games, 189076 moves, e=0.813, loss: 2.7, +, 19.6% elo% vs. random_no_suicide, avg. reward: -7.762, 1.734 sec/game, 6.1 min. total, 518.1 MB
shelter_stage v5 254 games, 189860 moves, e=0.812, loss: 2.6, -, 19.1% elo% vs. random_no_suicide, avg. reward: -7.759, 1.720 sec/game, 6.1 min. total, 518.6 MB
shelter_stage v5 255 games, 190763 moves, e=0.811, loss: 2.6, -, 18.5% elo% vs. random_no_suicide, avg. reward: -7.730, 1.731 sec/game, 6.2 min. total, 518.4 MB
shelter_stage v5 256 games, 191529 moves, e=0.810, loss: 2.6, -, 18.0% elo% vs. random_no_suicide, avg. reward: -7.727, 1.732 sec/game, 6.2 min. total, 521.5 MB
shelter_stage v5 257 games, 192313 moves, e=0.810, loss: 2.6, -, 17.5% elo% vs. random_no_suicide, avg. reward: -7.725, 1.708 sec/game, 6.2 min. total, 518.5 MB
shelter_stage v5 258 games, 193202 moves, e=0.809, loss: 2.8, -, 17.1% elo% vs. random_no_suicide, avg. reward: -7.725, 1.720 sec/game, 6.3 min. total, 521.4 MB
shelter_stage v5 259 games, 194157 moves, e=0.808, loss: 2.7, -, 16.6% elo% vs. random_no_suicide, avg. reward: -7.702, 1.734 sec/game, 6.3 min. total, 521.2 MB
shelter_stage v5 260 games, 194949 moves, e=0.807, loss: 2.5, +, 18.9% elo% vs. random_no_suicide, avg. reward: -7.697, 1.744 sec/game, 6.3 min. total, 520.6 MB
shelter_stage v5 261 games, 195755 moves, e=0.806, loss: 2.6, -, 18.3% elo% vs. random_no_suicide, avg. reward: -7.696, 1.744 sec/game, 6.4 min. total, 521.3 MB
shelter_stage v5 262 games, 196619 moves, e=0.805, loss: 2.5, -, 17.8% elo% vs. random_no_suicide, avg. reward: -7.694, 1.744 sec/game, 6.4 min. total, 521.3 MB
shelter_stage v5 263 games, 197316 moves, e=0.805, loss: 2.7, -, 17.4% elo% vs. random_no_suicide, avg. reward: -7.704, 1.732 sec/game, 6.4 min. total, 521.3 MB
shelter_stage v5 264 games, 198237 moves, e=0.804, loss: 2.5, -, 16.9% elo% vs. random_no_suicide, avg. reward: -7.677, 1.732 sec/game, 6.4 min. total, 521.5 MB
shelter_stage v5 265 games, 198913 moves, e=0.803, loss: 2.3, -, 16.5% elo% vs. random_no_suicide, avg. reward: -7.692, 1.708 sec/game, 6.5 min. total, 521.5 MB
shelter_stage v5 266 games, 199749 moves, e=0.802, loss: 2.1, -, 16.1% elo% vs. random_no_suicide, avg. reward: -7.676, 1.708 sec/game, 6.5 min. total, 522.2 MB
shelter_stage v5 267 games, 200611 moves, e=0.801, loss: 2.1, -, 15.7% elo% vs. random_no_suicide, avg. reward: -7.670, 1.709 sec/game, 6.5 min. total, 522.2 MB
shelter_stage v5 268 games, 201416 moves, e=0.801, loss: 1.9, ., 16.5% elo% vs. random_no_suicide, avg. reward: -7.644, 1.729 sec/game, 6.6 min. total, 522.4 MB
shelter_stage v5 269 games, 202410 moves, e=0.800, loss: 2.0, -, 16.1% elo% vs. random_no_suicide, avg. reward: -7.626, 1.746 sec/game, 6.6 min. total, 522.4 MB
shelter_stage v5 270 games, 203266 moves, e=0.799, loss: 2.1, -, 15.7% elo% vs. random_no_suicide, avg. reward: -7.615, 1.761 sec/game, 6.6 min. total, 522.2 MB
shelter_stage v5 271 games, 204207 moves, e=0.798, loss: 1.7, -, 15.3% elo% vs. random_no_suicide, avg. reward: -7.610, 1.777 sec/game, 6.7 min. total, 520.1 MB
shelter_stage v5 272 games, 205011 moves, e=0.797, loss: 1.8, -, 15.0% elo% vs. random_no_suicide, avg. reward: -7.607, 1.782 sec/game, 6.7 min. total, 522.4 MB
shelter_stage v5 273 games, 205806 moves, e=0.796, loss: 1.9, -, 14.6% elo% vs. random_no_suicide, avg. reward: -7.605, 1.785 sec/game, 6.7 min. total, 522.5 MB
shelter_stage v5 274 games, 206536 moves, e=0.796, loss: 1.8, -, 14.3% elo% vs. random_no_suicide, avg. reward: -7.618, 1.786 sec/game, 6.7 min. total, 522.5 MB
shelter_stage v5 275 games, 207409 moves, e=0.795, loss: 1.9, -, 14.0% elo% vs. random_no_suicide, avg. reward: -7.608, 1.786 sec/game, 6.8 min. total, 522.6 MB
shelter_stage v5 276 games, 208322 moves, e=0.794, loss: 1.8, -, 13.7% elo% vs. random_no_suicide, avg. reward: -7.583, 1.803 sec/game, 6.8 min. total, 522.6 MB
shelter_stage v5 277 games, 209159 moves, e=0.793, loss: 2.4, -, 13.4% elo% vs. random_no_suicide, avg. reward: -7.581, 1.816 sec/game, 6.8 min. total, 524.5 MB
shelter_stage v5 278 games, 209972 moves, e=0.792, loss: 2.3, -, 13.1% elo% vs. random_no_suicide, avg. reward: -7.575, 1.808 sec/game, 6.9 min. total, 526.0 MB
shelter_stage v5 279 games, 210864 moves, e=0.791, loss: 2.2, -, 12.8% elo% vs. random_no_suicide, avg. reward: -7.553, 1.808 sec/game, 6.9 min. total, 526.1 MB
shelter_stage v5 280 games, 211690 moves, e=0.790, loss: 2.2, -, 12.6% elo% vs. random_no_suicide, avg. reward: -7.530, 1.800 sec/game, 6.9 min. total, 527.0 MB
shelter_stage v5 281 games, 212656 moves, e=0.789, loss: 2.1, -, 12.3% elo% vs. random_no_suicide, avg. reward: -7.528, 1.827 sec/game, 7.0 min. total, 526.9 MB
shelter_stage v5 282 games, 213469 moves, e=0.789, loss: 2.7, -, 12.1% elo% vs. random_no_suicide, avg. reward: -7.517, 1.817 sec/game, 7.0 min. total, 526.8 MB
